ID_PGROUP,NAME,YEAR1,YEAR2,COURSE_NUM,WEEK_NUM1,WEEK_NUM2,ID_PGROUPPERIOD

101,ИС,2021,2024,1,1,17,572
101,ИС,2021,2024,1,20,41,573
101,ИС,2021,2024,2,1,15,574
101,ИС,2021,2024,2,23,42,575
101,ИС,2021,2024,3,1,12,576
101,ИС,2021,2024,3,23,38,577
101,ИС,2021,2024,4,1,20,578

102,ОС,2021,2023,1,1,17,609
102,ОС,2021,2023,1,20,39,613
102,ОС,2021,2023,2,1,15,664
102,ОС,2021,2023,2,22,35,675
102,ОС,2021,2023,3,1,14,680

103,СВ,2021,2023,1,1,17,608
103,СВ,2021,2023,1,20,39,614
103,СВ,2021,2023,2,1,14,665
103,СВ,2021,2023,2,22,34,674
103,СВ,2021,2023,3,1,13,679

104,СП,2021,2024,1,1,17,565
104,СП,2021,2024,1,20,41,566
104,СП,2021,2024,2,1,11,567
104,СП,2021,2024,2,23,43,568
104,СП,2021,2024,3,1,15,570
104,СП,2021,2024,3,23,38,571
104,СП,2021,2024,4,1,21,569

105,ТМ,2021,2024,1,1,17,579
105,ТМ,2021,2024,1,20,41,580
105,ТМ,2021,2024,2,1,16,581
105,ТМ,2021,2024,2,23,37,582
105,ТМ,2021,2024,3,1,15,584
105,ТМ,2021,2024,3,23,38,585
105,ТМ,2021,2024,4,1,21,583

106,ТО,2021,2024,1,1,17,586
106,ТО,2021,2024,1,20,41,587
106,ТО,2021,2024,2,1,17,588
106,ТО,2021,2024,2,23,42,589
106,ТО,2021,2024,3,1,17,591
106,ТО,2021,2024,3,23,38,592
106,ТО,2021,2024,4,1,21,590

107,ЭЛ,2021,2024,1,1,17,593
107,ЭЛ,2021,2024,1,20,41,594
107,ЭЛ,2021,2024,2,1,17,595
107,ЭЛ,2021,2024,2,23,39,596
107,ЭЛ,2021,2024,3,1,17,598
107,ЭЛ,2021,2024,3,23,38,599
107,ЭЛ,2021,2024,4,1,21,597

108,СПП,2021,2024,1,1,17,600
108,СПП,2021,2024,1,20,41,601
108,СПП,2021,2024,2,1,15,602
108,СПП,2021,2024,2,23,38,603
108,СПП,2021,2024,3,1,16,605
108,СПП,2021,2024,3,23,38,606
108,СПП,2021,2024,4,1,21,604
109,ЭЛ2,2021,2024,1,1,2,611
109,ЭЛ2,2021,2024,2,1,2,668
110,ИС,2022,2025,1,1,17,619
110,ИС,2022,2025,1,20,41,620
110,ИС,2022,2025,2,1,15,621
110,ИС,2022,2025,2,23,42,622
110,ИС,2022,2025,3,1,17,623
110,ИС,2022,2025,3,23,38,624
110,ИС,2022,2025,4,1,20,625
112,МО,2022,2024,1,1,17,661
112,МО,2022,2024,1,20,36,673
112,МО,2022,2024,2,1,10,705
112,МО,2022,2024,2,22,38,706
113,ЭМ,2022,2024,1,1,17,662
113,ЭМ,2022,2024,1,20,38,672
113,ЭМ,2022,2024,2,1,14,707
114,ТО,2022,2025,1,1,17,647
114,ТО,2022,2025,1,20,41,648
114,ТО,2022,2025,2,1,17,649
114,ТО,2022,2025,2,23,38,650
114,ТО,2022,2025,3,1,16,652
114,ТО,2022,2025,3,23,38,653
114,ТО,2022,2025,4,1,21,651
115,СП,2022,2025,1,1,17,626
115,СП,2022,2025,1,20,41,627
115,СП,2022,2025,2,1,11,628
115,СП,2022,2025,2,23,38,629
115,СП,2022,2025,3,1,16,631
115,СП,2022,2025,3,23,38,632
115,СП,2022,2025,4,1,21,630
116,ТМ,2022,2025,1,1,17,640
116,ТМ,2022,2025,1,20,41,641
116,ТМ,2022,2025,2,1,16,642
116,ТМ,2022,2025,2,23,37,643
116,ТМ,2022,2025,3,1,16,645
116,ТМ,2022,2025,3,23,38,646
116,ТМ,2022,2025,4,1,21,644
117,ЭЛ,2022,2025,1,1,17,654
117,ЭЛ,2022,2025,1,20,41,655
117,ЭЛ,2022,2025,2,1,17,656
117,ЭЛ,2022,2025,2,23,38,657
117,ЭЛ,2022,2025,3,1,16,659
117,ЭЛ,2022,2025,3,23,38,660
117,ЭЛ,2022,2025,4,1,21,658
119,СП2,2022,2025,1,1,2,667
120,СПП,2022,2025,1,1,17,633
120,СПП,2022,2025,1,20,41,634
120,СПП,2022,2025,2,1,15,635
120,СПП,2022,2025,2,23,38,636
120,СПП,2022,2025,3,1,16,638
120,СПП,2022,2025,3,23,38,639
120,СПП,2022,2025,4,1,21,637
121,БУ2,2022,2024,1,1,2,671
122,ИС,2023,2026,1,1,17,681
122,ИС,2023,2026,1,20,43,682
123,НС,2023,2025,1,1,17,704
124,ОС,2023,2024,1,1,17,703
125,ПК,2023,2026,1,1,17,687
125,ПК,2023,2026,1,20,43,688
126,СВ,2023,2024,1,1,17,701
127,СП,2023,2026,1,1,17,695
127,СП,2023,2026,1,20,43,696
128,ТМ,2023,2026,1,1,17,699
128,ТМ,2023,2026,1,20,43,700
129,ТО,2023,2026,1,1,17,683
129,ТО,2023,2026,1,20,43,684
130,ЭЛ,2023,2026,1,1,17,691
130,ЭЛ,2023,2026,1,20,43,692
